,index,Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame),Tied Names,Predicted Names
0,5,00006-HkseAnWCgqk,5,21,rug;door frame;ceiling lamp;beam;mirror;heater;painting;wall panel;stool;picture;appliance;decoration;wardrobe;cabinet;wall lamp;stairs;balustrade,Tie: Bedroom & Hall/stairwell,Hall/stairwell
1,23,00009-vLpv2VX547B,12,30,picture;armchair;cabinet;heater;ornament;table;pouffe;tv;casket;clutter;box;book;tv stand;pillow;plant;stand;l-shaped sofa;vase;stairs;vacuum cleaner;basket;tissue box;newspaper;device,Tie: Living room & Hall/stairwell,Hall/stairwell
2,31,00009-vLpv2VX547B,20,14,wardrobe;pouffe;device;air conditioning;armchair;couch;chair;table,Tie: Bedroom & Living room,Bedroom
3,51,00017-oEPjPNSPmzL,3,18,ceiling molding;ceiling lamp;door frame;socket;washer-dryer;sink;hot water/cold water knob;basket of something;bottle of detergent;bathroom utensil;decorative plant;cabinet clutter;appliance;storage cabinet,Tie: Laundry room & Bathroom,Laundry room
4,128,00031-Wo6kuutE9i7,7,22,picture;couch;speaker;table;book;lamp;cushion;flower vase;basket;clock;rail;mirror;air conditioning;window curtain;dresser;tv;vase,Tie: Bedroom & Living room,Living room
5,137,00033-oPj9qMxrDEa,7,22,hanger;refrigerator;wardrobe;boiler;ladder;case;basket;blanket;bag;box;pipe;detergent bottle;washing machine;central heating furnace;fire extinguisher;furnace;set of valves,Tie: Laundry room & Bedroom & Kitchen,Laundry room
6,163,00043-Jfyvj3xn2aJ,3,27,curtain rod;pillow;toy;box;parapet;chest;handbag;wood;seat;dartboard;rope;foosball game table;doll;heater;workout bike;tv;bowl;pad;candle;bag;desk;appliance,Tie: Office & Rec room,Office
7,173,00043-Jfyvj3xn2aJ,13,14,electric wire casing;boiler;bag;cabinet;box;toilet paper;refrigerator;hose;pipe;vacuum cleaner;laundry basket,Tie: Kitchen & Bathroom,Kitchen
8,190,00055-HxmXPBbFCkH,11,20,table;l-shaped sofa;sliding glass door;heater;shelf;tv;computer equipment;bouquet;plant;pad;plant ornament;picture;cabinet;lamp;vase;speaker,Tie: Office & Living room,Living room
9,193,00057-1UnKg1rAb8A,2,22,washing machine;clothes dryer;box;stairs;rack;door frame;alarm;alarm control;ornament;mirror;toy;carpet;lamp;photo mount;plant,Tie: Laundry room & Hall/stairwell,Hall/stairwell
